"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)"
2024-05-02,11:58:34,964262,-1.7118541870117185,0.8259995727539062,8.947131604003905,-2.1341463414634148,-1.829268292682927,0.12195121951219513
2024-05-02,11:58:35,223628,-1.7429788085937499,0.8403647827148437,8.89924757080078,-2.3170731707317076,-1.7682926829268295,0.27439024390243905
2024-05-02,11:58:35,494875,-1.7357962036132812,0.8259995727539062,9.028534460449219,-2.164634146341464,-1.9512195121951221,0.3353658536585366
2024-05-02,11:58:35,793644,-1.7429788085937499,0.833182177734375,8.978256225585938,-2.378048780487805,-1.4634146341463417,0.24390243902439027
2024-05-02,11:58:36,059701,-1.678335363769531,0.8068459594726562,9.026140258789061,-2.347560975609756,-2.0426829268292686,0.3658536585365854
2024-05-02,11:58:36,311778,-1.7310078002929687,0.7948749511718749,8.975862023925782,-2.530487804878049,-1.6463414634146343,0.30487804878048785
2024-05-02,11:58:36,582776,-1.7453730102539062,0.814028564453125,9.054870678710937,-2.378048780487805,-1.829268292682927,0.09146341463414635
2024-05-02,11:58:36,836842,-1.714248388671875,0.8259995727539062,9.006986645507812,-2.25609756097561,-1.7378048780487807,0.30487804878048785
2024-05-02,11:58:37,099848,-1.7094599853515624,0.8379705810546875,8.963891015625,-2.164634146341464,-1.6158536585365855,0.12195121951219513
2024-05-02,11:58:37,350730,-1.7357962036132812,0.8595183959960937,8.98304462890625,-2.4695121951219514,-1.707317073170732,0.06097560975609757
2024-05-02,11:58:37,610802,-1.7166425903320313,0.842758984375,8.978256225585938,-2.378048780487805,-1.6158536585365855,0.2134146341463415
2024-05-02,11:58:37,864362,-1.7190367919921874,0.8355763793945312,9.004592443847656,-2.408536585365854,-1.524390243902439,0.2134146341463415
2024-05-02,11:58:38,125094,-1.6903063720703124,0.8475473876953125,8.978256225585938,-2.2865853658536586,-1.5548780487804879,0.3353658536585366
2024-05-02,11:58:38,376560,-1.7573440185546874,0.8571241943359375,8.978256225585938,-2.225609756097561,-1.5853658536585367,0.3353658536585366
2024-05-02,11:58:38,638678,3.4428619873046875,4.015076184082031,7.314286071777343,-10.121951219512196,30.30487804878049,-17.53048780487805
2024-05-02,11:58:38,893575,-1.458068811035156,-3.1842882080078123,7.40526573486328,-226.43292682926833,-82.6829268292683,-135.70121951219514
2024-05-02,11:58:39,156427,4.309562988281249,-2.7437551025390623,7.242460021972656,65.09146341463415,-138.75,-122.7439024390244
2024-05-02,11:58:39,409061,4.855440966796874,0.9552864624023437,7.668627917480468,173.56707317073173,97.07317073170732,18.597560975609756
2024-05-02,11:58:39,670089,3.6487633300781246,8.037334973144532,7.4028715332031245,-60.335365853658544,51.4329268292683,0.1829268292682927
2024-05-02,11:58:39,923668,4.407725256347656,-1.2473790649414063,7.359775903320312,-220.94512195121953,-72.13414634146342,-166.3719512195122
2024-05-02,11:58:40,186826,4.434061474609375,-5.358223315429687,7.955932116699218,73.23170731707317,16.3109756097561,21.402439024390247
2024-05-02,11:58:40,440118,3.6104561035156246,7.280767248535156,6.4356140625,84.51219512195122,6.00609756097561,8.810975609756099
2024-05-02,11:58:40,705481,-1.707065783691406,2.7533319091796873,9.658209497070311,-216.40243902439028,79.87804878048782,-20.182926829268293
2024-05-02,11:58:40,961978,-0.37828386230468747,-3.7158009765625,9.464279162597656,19.634146341463417,-45.304878048780495,-6.067073170731708
2024-05-02,11:58:41,229202,-1.6472107421875,0.9409212524414062,8.992621435546875,-0.4573170731707317,-3.689024390243903,0.39634146341463417
2024-05-02,11:58:41,485120,-1.7525556152343749,0.86191259765625,8.992621435546875,-2.439024390243903,-1.5853658536585367,0.12195121951219513
2024-05-02,11:58:41,755136,-1.7334020019531249,0.8475473876953125,8.963891015625,-2.347560975609756,-1.707317073170732,0.030487804878048783
2024-05-02,11:58:42,036123,-1.7405846069335937,0.8403647827148437,8.975862023925782,-2.0426829268292686,-1.6463414634146343,0.30487804878048785
2024-05-02,11:58:42,318766,-1.7453730102539062,0.852335791015625,9.026140258789061,-2.3170731707317076,-1.7987804878048783,0.3353658536585366
2024-05-02,11:58:42,591118,-1.7597382202148437,0.8379705810546875,9.038111267089842,-2.2865853658536586,-1.4939024390243905,0.0
2024-05-02,11:58:42,878126,-1.7405846069335937,0.842758984375,8.992621435546875,-2.378048780487805,-1.7682926829268295,0.2134146341463415
2024-05-02,11:58:43,146755,-1.7357962036132812,0.9074024291992187,8.935160595703124,-2.225609756097561,-1.6463414634146343,0.2134146341463415
